,Especie,Ticker,Spot,CallPut,Strike,TTM,Last,Moneyness,impliedVolatility,Bid,Ask
41,TSLA220624P00530000,TSLA,725.780029296875,P,530.0,2,0.3,1.369396281692217,1.5087915185546876,0.31,0.35
42,TSLA220624C00535000,TSLA,725.780029296875,C,535.0,2,116.85,1.3565981856016356,2.0336963220214845,190.3,192.0
43,TSLA220624P00535000,TSLA,725.780029296875,P,535.0,2,0.32,1.3565981856016356,1.4560574072265624,0.29,0.33
44,TSLA220624C00540000,TSLA,725.780029296875,C,540.0,2,187.55,1.3440370912905093,2.1020555261230465,186.3,187.55
45,TSLA220624P00540000,TSLA,725.780029296875,P,540.0,2,0.34,1.3440370912905093,1.43359658203125,0.32,0.36
46,TSLA220624C00545000,TSLA,725.780029296875,C,545.0,2,181.0,1.3317064757740826,2.1958052917480466,182.45,183.65
47,TSLA220624P00545000,TSLA,725.780029296875,P,545.0,2,0.41,1.3317064757740826,1.4091826416015625,0.35,0.39
48,TSLA220624C00550000,TSLA,725.780029296875,C,550.0,2,166.65,1.3196000532670455,2.1364792681884763,177.15,178.9
49,TSLA220624P00550000,TSLA,725.780029296875,P,550.0,2,0.4,1.3196000532670455,1.3886749316406248,0.4,0.42
50,TSLA220624C00555000,TSLA,725.780029296875,C,555.0,2,147.87,1.3077117644988738,1.8549811938476561,170.55,172.1
51,TSLA220624P00555000,TSLA,725.780029296875,P,555.0,2,0.43,1.3077117644988738,1.3574250878906249,0.41,0.45
52,TSLA220624C00560000,TSLA,725.780029296875,C,560.0,2,149.35,1.2960357666015625,1.8916021044921876,166.25,167.65
53,TSLA220624P00560000,TSLA,725.780029296875,P,560.0,2,0.47,1.2960357666015625,1.3320345898437496,0.44,0.49
54,TSLA220624C00565000,TSLA,725.780029296875,C,565.0,2,152.95,1.284566423534292,1.8520515209960937,161.45,162.65
55,TSLA220624P00565000,TSLA,725.780029296875,P,565.0,2,0.51,1.284566423534292,1.307620649414062,0.5,0.51
56,TSLA220624C00570000,TSLA,725.780029296875,C,570.0,2,147.85,1.2732982970120614,1.7436536254882813,155.95,157.3
57,TSLA220624P00570000,TSLA,725.780029296875,P,570.0,2,0.52,1.2732982970120614,1.2778356420898436,0.52,0.55
58,TSLA220624C00575000,TSLA,725.780029296875,C,575.0,2,144.95,1.2622261379076087,1.5498069384765623,149.3,152.0
59,TSLA220624P00575000,TSLA,725.780029296875,P,575.0,2,0.58,1.2622261379076087,1.2578162109375,0.58,0.61
60,TSLA220624C00580000,TSLA,725.780029296875,C,580.0,2,137.11,1.2513448780980603,1.7153334545898438,146.55,147.9
61,TSLA220624P00580000,TSLA,725.780029296875,P,580.0,2,0.65,1.2513448780980603,1.2294960400390624,0.62,0.65
62,TSLA220624C00585000,TSLA,725.780029296875,C,585.0,2,141.45,1.2406496227297008,1.7790538391113282,142.45,144.15
63,TSLA220624P00585000,TSLA,725.780029296875,P,585.0,2,0.69,1.2406496227297008,1.203128984375,0.67,0.7
64,TSLA220624C00590000,TSLA,725.780029296875,C,590.0,2,128.05,1.2301356428760593,1.619142529296875,136.6,138.0
65,TSLA220624P00590000,TSLA,725.780029296875,P,590.0,2,0.76,1.2301356428760593,1.179203322753906,0.73,0.77
66,TSLA220624C00595000,TSLA,725.780029296875,C,595.0,2,130.36,1.2197983685661764,1.609376953125,131.45,133.95
67,TSLA220624P00595000,TSLA,725.780029296875,P,595.0,2,0.8,1.2197983685661764,1.147953479003906,0.77,0.81
68,TSLA220624C00600000,TSLA,725.780029296875,C,600.0,2,125.46,1.2096333821614584,1.4477566674804687,125.95,127.45
69,TSLA220624P00600000,TSLA,725.780029296875,P,600.0,2,0.86,1.2096333821614584,1.1306195812988284,0.88,0.91
70,TSLA220624C00605000,TSLA,725.780029296875,C,605.0,2,122.3,1.1996364120609504,1.5328392498779297,122.1,123.9
71,TSLA220624P00605000,TSLA,725.780029296875,P,605.0,2,0.94,1.1996364120609504,1.1054732226562503,0.95,1.0
72,TSLA220624C00610000,TSLA,725.780029296875,C,610.0,2,115.5,1.1898033267161885,1.51172119140625,117.5,119.2
73,TSLA220624P00610000,TSLA,725.780029296875,P,610.0,2,1.05,1.1898033267161885,1.080571003417969,1.05,1.08
74,TSLA220624C00615000,TSLA,725.780029296875,C,615.0,2,112.46,1.1801301289380082,1.4351834881591798,112.4,113.8
75,TSLA220624P00615000,TSLA,725.780029296875,P,615.0,2,1.18,1.1801301289380082,1.0542039477539062,1.13,1.18
76,TSLA220624C00620000,TSLA,725.780029296875,C,620.0,2,108.0,1.1706129504788307,1.379519703979492,107.3,108.85
77,TSLA220624P00620000,TSLA,725.780029296875,P,620.0,2,1.27,1.1706129504788307,1.035649353027344,1.28,1.33
78,TSLA220624C00625000,TSLA,725.780029296875,C,625.0,2,102.58,1.161248046875,1.3808624707031247,102.95,104.5
79,TSLA220624P00625000,TSLA,725.780029296875,P,625.0,2,1.42,1.161248046875,1.011479552001953,1.41,1.46
80,TSLA220624C00630000,TSLA,725.780029296875,C,630.0,2,86.26,1.1520317925347223,1.338016005249023,98.15,99.6
81,TSLA220624P00630000,TSLA,725.780029296875,P,630.0,2,1.6,1.1520317925347223,0.9926758544921875,1.59,1.65
82,TSLA220624C00635000,TSLA,725.780029296875,C,635.0,2,81.59,1.1429606760580708,1.2714880175781247,93.05,94.4
83,TSLA220624P00635000,TSLA,725.780029296875,P,635.0,2,1.81,1.1429606760580708,0.9689944506835937,1.76,1.82
84,TSLA220624C00640000,TSLA,725.780029296875,C,640.0,2,80.0,1.1340312957763672,1.2109414453124998,88.0,89.3
85,TSLA220624P00640000,TSLA,725.780029296875,P,640.0,2,1.98,1.1340312957763672,0.9492192578124999,1.98,2.05
86,TSLA220624C00645000,TSLA,725.780029296875,C,645.0,2,83.58,1.125240355499031,1.1337933935546878,82.7,84.0
87,TSLA220624P00645000,TSLA,725.780029296875,P,645.0,2,2.35,1.125240355499031,0.9321295849609376,2.28,2.31
88,TSLA220624C00650000,TSLA,725.780029296875,C,650.0,2,79.5,1.1165846604567307,1.1281781872558594,78.0,80.05
89,TSLA220624P00650000,TSLA,725.780029296875,P,650.0,2,2.65,1.1165846604567307,0.9167488793945313,2.61,2.66
90,TSLA220624C00655000,TSLA,725.780029296875,C,655.0,2,75.15,1.1080611134303435,1.0741013092041019,73.35,74.75
91,TSLA220624P00655000,TSLA,725.780029296875,P,655.0,2,3.05,1.1080611134303435,0.9038095556640625,3.0,3.1
92,TSLA220624C00660000,TSLA,725.780029296875,C,660.0,2,70.25,1.099666711055871,1.0489549505615237,68.7,70.35
93,TSLA220624P00660000,TSLA,725.780029296875,P,660.0,2,3.44,1.099666711055871,0.8907481628417968,3.5,3.55
94,TSLA220624C00665000,TSLA,725.780029296875,C,665.0,2,66.0,1.0913985402960527,1.1086470349121096,65.7,67.3
95,TSLA220624P00665000,TSLA,725.780029296875,P,665.0,2,4.1,1.0913985402960527,0.8747571118164061,3.95,4.1
96,TSLA220624C00670000,TSLA,725.780029296875,C,670.0,2,61.85,1.0832537750699627,1.0557908538818361,61.0,62.3
97,TSLA220624P00670000,TSLA,725.780029296875,P,670.0,2,4.72,1.0832537750699627,0.8558364025878906,4.5,4.6
98,TSLA220624C00675000,TSLA,725.780029296875,C,675.0,2,55.82,1.0752296730324074,1.0606736419677736,57.25,58.6
99,TSLA220624P00675000,TSLA,725.780029296875,P,675.0,2,5.26,1.0752296730324074,0.8521743298339843,5.35,5.45
100,TSLA220624C00680000,TSLA,725.780029296875,C,680.0,2,53.66,1.0673235724954044,0.9683841052246094,51.7,53.05
101,TSLA220624P00680000,TSLA,725.780029296875,P,680.0,2,6.2,1.0673235724954044,0.830934307861328,6.0,6.1
102,TSLA220624C00685000,TSLA,725.780029296875,C,685.0,2,50.0,1.059532889484489,0.9620975469970703,48.1,49.05
103,TSLA220624P00685000,TSLA,725.780029296875,P,685.0,2,7.14,1.059532889484489,0.8245867150878905,7.0,7.15
104,TSLA220624C00690000,TSLA,725.780029296875,C,690.0,2,44.85,1.0518551149230073,0.9637454797363281,44.45,45.7
105,TSLA220624P00690000,TSLA,725.780029296875,P,690.0,2,8.15,1.0518551149230073,0.8226336096191407,8.25,8.4
106,TSLA220624C00695000,TSLA,725.780029296875,C,695.0,2,40.7,1.0442878119379497,0.9008188629150391,39.8,40.7
107,TSLA220624P00695000,TSLA,725.780029296875,P,695.0,2,9.45,1.0442878119379497,0.7954122021484374,9.05,9.3
108,TSLA220624C00700000,TSLA,725.780029296875,C,700.0,2,37.0,1.03682861328125,0.9479985668945312,37.6,38.55
109,TSLA220624P00700000,TSLA,725.780029296875,P,700.0,2,10.63,1.03682861328125,0.7906515075683593,10.6,10.7
110,TSLA220624C00705000,TSLA,725.780029296875,C,705.0,2,34.55,1.0294752188608156,0.9112557702636719,33.7,34.45
111,TSLA220624P00705000,TSLA,725.780029296875,P,705.0,2,11.95,1.0294752188608156,0.7819235675048828,12.1,12.3
112,TSLA220624C00710000,TSLA,725.780029296875,C,710.0,2,30.25,1.0222253933758803,0.9057626611328125,30.7,31.25
113,TSLA220624P00710000,TSLA,725.780029296875,P,710.0,2,13.8,1.0222253933758803,0.762270443725586,13.55,13.75
114,TSLA220624C00715000,TSLA,725.780029296875,C,715.0,2,27.51,1.0150769640515733,0.8803722900390624,27.3,27.75
115,TSLA220624P00715000,TSLA,725.780029296875,P,715.0,2,15.89,1.0150769640515733,0.7556176782226562,15.45,15.75
116,TSLA220624C00717500,TSLA,725.780029296875,C,717.5,2,25.9,1.0115401105182926,0.8567519207763672,25.4,25.75
117,TSLA220624P00717500,TSLA,725.780029296875,P,717.5,2,16.8,1.0115401105182926,0.7611107873535157,16.75,17.0
118,TSLA220624C00720000,TSLA,725.780029296875,C,720.0,2,23.9,1.008027818467882,0.8740246972656249,24.55,24.9
119,TSLA220624P00720000,TSLA,725.780029296875,P,720.0,2,17.91,1.008027818467882,0.7559228509521485,17.8,18.05
120,TSLA220624C00722500,TSLA,725.780029296875,C,722.5,2,23.5,1.0045398329368511,0.8732312481689453,23.2,23.7
121,TSLA220624P00722500,TSLA,725.780029296875,P,722.5,2,18.5,1.0045398329368511,0.7479273254394532,18.85,19.05
122,TSLA220624C00725000,TSLA,725.780029296875,C,725.0,2,21.48,1.0010759024784484,0.8439957006835936,21.3,21.65
123,TSLA220624P00725000,TSLA,725.780029296875,P,725.0,2,19.91,1.0010759024784484,0.7389552471923828,19.85,20.15
124,TSLA220624C00727500,TSLA,725.780029296875,C,727.5,2,20.55,0.9976357791022337,0.8714002117919921,20.85,21.2
125,TSLA220624P00727500,TSLA,725.780029296875,P,727.5,2,21.41,0.9976357791022337,0.7376124871826171,21.2,21.4
126,TSLA220624C00730000,TSLA,725.780029296875,C,730.0,2,19.5,0.9942192182148972,0.8665784826660157,19.7,19.85
127,TSLA220624P00730000,TSLA,725.780029296875,P,730.0,2,22.5,0.9942192182148972,0.7324245507812499,22.4,22.7
128,TSLA220624C00732500,TSLA,725.780029296875,C,732.5,2,18.44,0.9908259785622867,0.8532729516601563,18.2,18.5
129,TSLA220624P00732500,TSLA,725.780029296875,P,732.5,2,23.55,0.9908259785622867,0.7290066162109375,23.7,24.1
130,TSLA220624C00735000,TSLA,725.780029296875,C,735.0,2,16.6,0.9874558221726191,0.8604750280761719,17.35,17.65
131,TSLA220624P00735000,TSLA,725.780029296875,P,735.0,2,25.0,0.9874558221726191,0.7216824707031251,24.95,25.45
132,TSLA220624C00737500,TSLA,725.780029296875,C,737.5,2,16.3,0.9841085143008474,0.8466201861572265,16.0,16.3
133,TSLA220624P00737500,TSLA,725.780029296875,P,737.5,2,27.6,0.9841085143008474,0.7319362744140624,26.75,27.25
134,TSLA220624C00740000,TSLA,725.780029296875,C,740.0,2,14.8,0.9807838233741554,0.8298356860351561,14.7,14.85
135,TSLA220624P00740000,TSLA,725.780029296875,P,740.0,2,27.74,0.9807838233741554,0.6904327832031252,27.3,27.8
136,TSLA220624C00742500,TSLA,725.780029296875,C,742.5,2,14.2,0.9774815209385522,0.8289201678466795,13.75,13.95
137,TSLA220624P00742500,TSLA,725.780029296875,P,742.5,2,29.65,0.9774815209385522,0.6800569104003908,28.7,29.2
138,TSLA220624C00745000,TSLA,725.780029296875,C,745.0,2,12.75,0.9742013816065436,0.8181780877685545,12.65,12.8
139,TSLA220624P00745000,TSLA,725.780029296875,P,745.0,2,31.6,0.9742013816065436,0.6724886267089845,30.2,30.75
140,TSLA220624C00750000,TSLA,725.780029296875,C,750.0,2,11.1,0.9677067057291666,0.8146991186523438,11.0,11.1
141,TSLA220624P00750000,TSLA,725.780029296875,P,750.0,2,33.58,0.9677067057291666,0.6630893066406252,33.45,34.2
142,TSLA220624C00755000,TSLA,725.780029296875,C,755.0,2,9.85,0.9612980520488411,0.8116473913574218,9.45,9.65
143,TSLA220624P00755000,TSLA,725.780029296875,P,755.0,2,47.55,0.9612980520488411,0.6687044848632814,37.2,38.2
144,TSLA220624C00760000,TSLA,725.780029296875,C,760.0,2,8.15,0.954973722759046,0.8153094641113281,8.25,8.45
145,TSLA220624P00760000,TSLA,725.780029296875,P,760.0,2,42.0,0.954973722759046,0.6337927246093751,40.4,41.5
146,TSLA220624C00765000,TSLA,725.780029296875,C,765.0,2,7.1,0.9487320644403595,0.79883013671875,6.8,6.95
147,TSLA220624P00765000,TSLA,725.780029296875,P,765.0,2,46.1,0.9487320644403595,0.6947662359619142,45.4,46.9
148,TSLA220624C00770000,TSLA,725.780029296875,C,770.0,2,6.0,0.9425714666193182,0.7944356494140624,5.75,5.85
149,TSLA220624P00770000,TSLA,725.780029296875,P,770.0,2,60.9,0.9425714666193182,0.5982706188964844,48.3,49.35
150,TSLA220624C00775000,TSLA,725.780029296875,C,775.0,2,4.99,0.9364903603830645,0.802614278564453,5.0,5.15
151,TSLA220624P00775000,TSLA,725.780029296875,P,775.0,2,62.5,0.9364903603830645,0.6041299353027345,52.7,54.0
152,TSLA220624C00780000,TSLA,725.780029296875,C,780.0,2,4.15,0.9304872170472757,0.795900478515625,4.15,4.25
153,TSLA220624P00780000,TSLA,725.780029296875,P,780.0,2,69.0,0.9304872170472757,0.6044961425781252,57.35,58.45
154,TSLA220624C00785000,TSLA,725.780029296875,C,785.0,2,3.55,0.924560546875,0.7913839221191408,3.4,3.55
155,TSLA220624P00785000,TSLA,725.780029296875,P,785.0,2,70.15,0.924560546875,0.5297898583984376,61.35,62.55
156,TSLA220624C00790000,TSLA,725.780029296875,C,790.0,2,2.92,0.9187088978441456,0.7927266821289063,2.89,2.97
157,TSLA220624P00790000,TSLA,725.780029296875,P,790.0,2,78.0,0.9187088978441456,0.5273484765625001,65.95,67.55
158,TSLA220624C00795000,TSLA,725.780029296875,C,795.0,2,2.5,0.912930854461478,0.7995625512695312,2.48,2.57
159,TSLA220624P00795000,TSLA,725.780029296875,P,795.0,2,90.21,0.912930854461478,1.0000000000000003e-05,69.2,70.9
160,TSLA220624C00800000,TSLA,725.780029296875,C,800.0,2,2.04,0.9072250366210938,0.7863790893554687,1.94,1.99
161,TSLA220624P00800000,TSLA,725.780029296875,P,800.0,2,75.0,0.9072250366210938,1.0000000000000003e-05,74.15,75.6
162,TSLA220624C00805000,TSLA,725.780029296875,C,805.0,2,1.77,0.9015900985054348,0.7993184130859375,1.71,1.77
163,TSLA220624P00805000,TSLA,725.780029296875,P,805.0,2,89.7,0.9015900985054348,1.0000000000000003e-05,78.85,80.1
164,TSLA220624C00810000,TSLA,725.780029296875,C,810.0,2,1.36,0.8960247275270061,0.8042011767578124,1.44,1.51
165,TSLA220624P00810000,TSLA,725.780029296875,P,810.0,2,93.48,0.8960247275270061,1.0000000000000003e-05,83.35,85.65
166,TSLA220624C00815000,TSLA,725.780029296875,C,815.0,2,1.18,0.8905276433090491,0.8022480712890624,1.17,1.23
167,TSLA220624P00815000,TSLA,725.780029296875,P,815.0,2,91.65,0.8905276433090491,1.0000000000000003e-05,88.3,89.6
168,TSLA220624C00820000,TSLA,725.780029296875,C,820.0,2,1.05,0.8850975967035061,0.8073749731445312,0.99,1.04
169,TSLA220624P00820000,TSLA,725.780029296875,P,820.0,2,103.18,0.8850975967035061,1.0000000000000003e-05,92.95,94.3
170,TSLA220624C00825000,TSLA,725.780029296875,C,825.0,2,0.86,0.879733368844697,0.8137225659179688,0.84,0.89
171,TSLA220624P00825000,TSLA,725.780029296875,P,825.0,2,107.02,0.879733368844697,0.657229990234375,99.95,101.5
172,TSLA220624C00830000,TSLA,725.780029296875,C,830.0,2,0.75,0.8744337702371988,0.8176287768554686,0.7,0.75
173,TSLA220624P00830000,TSLA,725.780029296875,P,830.0,2,127.35,0.8744337702371988,1.0000000000000003e-05,103.05,104.75
174,TSLA220624C00835000,TSLA,725.780029296875,C,835.0,2,0.62,0.869197639876497,0.82226740234375,0.6,0.62
175,TSLA220624P00835000,TSLA,725.780029296875,P,835.0,2,109.21,0.869197639876497,1.0000000000000003e-05,109.1,110.95
176,TSLA220624C00840000,TSLA,725.780029296875,C,840.0,2,0.52,0.8640238444010416,0.82226740234375,0.47,0.52
177,TSLA220624P00840000,TSLA,725.780029296875,P,840.0,2,115.0,0.8640238444010416,1.0000000000000003e-05,112.9,114.3
178,TSLA220624C00845000,TSLA,725.780029296875,C,845.0,2,0.42,0.8589112772744083,0.8354508642578123,0.42,0.47
179,TSLA220624P00845000,TSLA,725.780029296875,P,845.0,2,129.18,0.8589112772744083,1.0000000000000003e-05,117.4,118.75
180,TSLA220624C00850000,TSLA,725.780029296875,C,850.0,2,0.36,0.8538588579963236,0.8403336279296875,0.36,0.39
181,TSLA220624P00850000,TSLA,725.780029296875,P,850.0,2,136.7,0.8538588579963236,1.0000000000000003e-05,121.95,123.25
182,TSLA220624C00855000,TSLA,725.780029296875,C,855.0,2,0.31,0.8488655313413743,0.8466812207031249,0.3,0.34
183,TSLA220624P00855000,TSLA,725.780029296875,P,855.0,2,134.39,0.8488655313413743,1.0000000000000003e-05,127.95,129.6
184,TSLA220624C00860000,TSLA,725.780029296875,C,860.0,2,0.26,0.8439302666242733,0.84961087890625,0.25,0.28
185,TSLA220624P00860000,TSLA,725.780029296875,P,860.0,2,138.1,0.8439302666242733,1.0000000000000003e-05,133.3,134.8
186,TSLA220624C00865000,TSLA,725.780029296875,C,865.0,2,0.22,0.8390520569906069,0.8554701953125,0.21,0.24
187,TSLA220624P00865000,TSLA,725.780029296875,P,865.0,2,143.78,0.8390520569906069,1.0000000000000003e-05,137.3,138.85
188,TSLA220624C00870000,TSLA,725.780029296875,C,870.0,2,0.23,0.8342299187320402,0.860352958984375,0.18,0.2
189,TSLA220624P00870000,TSLA,725.780029296875,P,870.0,2,153.39,0.8342299187320402,1.0000000000000003e-05,142.05,143.75
190,TSLA220624C00875000,TSLA,725.780029296875,C,875.0,2,0.19,0.829462890625,0.87500125,0.15,0.2
191,TSLA220624P00875000,TSLA,725.780029296875,P,875.0,2,167.18,0.829462890625,1.0000000000000003e-05,148.9,150.3
192,TSLA220624C00880000,TSLA,725.780029296875,C,880.0,2,0.14,0.8247500332919034,0.87695435546875,0.14,0.15
193,TSLA220624P00880000,TSLA,725.780029296875,P,880.0,2,196.22,0.8247500332919034,1.0000000000000003e-05,153.8,155.5
194,TSLA220624C00885000,TSLA,725.780029296875,C,885.0,2,0.14,0.8200904285840396,0.89257919921875,0.12,0.15
195,TSLA220624P00885000,TSLA,725.780029296875,P,885.0,2,177.6,0.8200904285840396,1.0000000000000003e-05,157.3,158.65
196,TSLA220624C00890000,TSLA,725.780029296875,C,890.0,2,0.11,0.8154831789852528,0.8984385156249999,0.1,0.13
197,TSLA220624P00890000,TSLA,725.780029296875,P,890.0,2,177.26,0.8154831789852528,1.0000000000000003e-05,163.45,165.15
198,TSLA220624C00895000,TSLA,725.780029296875,C,895.0,2,0.07,0.8109274070356145,0.9003916210937499,0.07,0.12
199,TSLA220624P00895000,TSLA,725.780029296875,P,895.0,2,184.95,0.8109274070356145,1.0000000000000003e-05,167.9,169.15
200,TSLA220624C00900000,TSLA,725.780029296875,C,900.0,2,0.09,0.8064222547743055,0.90429783203125,0.07,0.09
201,TSLA220624P00900000,TSLA,725.780029296875,P,900.0,2,188.0,0.8064222547743055,1.0000000000000003e-05,172.45,174.0
202,TSLA220624C00905000,TSLA,725.780029296875,C,905.0,2,0.04,0.8019668832009669,0.91211025390625,0.05,0.09
203,TSLA220624P00905000,TSLA,725.780029296875,P,905.0,2,223.85,0.8019668832009669,1.0000000000000003e-05,177.1,178.45
204,TSLA220624C00910000,TSLA,725.780029296875,C,910.0,2,0.07,0.7975604717548077,0.9179695703125,0.05,0.07
205,TSLA220624P00910000,TSLA,725.780029296875,P,910.0,2,207.46,0.7975604717548077,1.0000000000000003e-05,181.8,184.9
206,TSLA220624C00915000,TSLA,725.780029296875,C,915.0,2,0.03,0.7932022178107924,0.92187578125,0.03,0.07
207,TSLA220624P00915000,TSLA,725.780029296875,P,915.0,2,205.15,0.7932022178107924,1.0000000000000003e-05,188.35,189.75
208,TSLA220624C00920000,TSLA,725.780029296875,C,920.0,2,0.06,0.7888913361922555,0.929688203125,0.02,0.07
209,TSLA220624P00920000,TSLA,725.780029296875,P,920.0,2,199.29,0.7888913361922555,1.0000000000000003e-05,192.8,194.2
210,TSLA220624C00925000,TSLA,725.780029296875,C,925.0,2,0.01,0.7846270586993244,0.929688203125,0.01,0.06
211,TSLA220624P00925000,TSLA,725.780029296875,P,925.0,2,207.37,0.7846270586993244,1.0000000000000003e-05,198.35,199.75
212,TSLA220624C00930000,TSLA,725.780029296875,C,930.0,2,0.03,0.7804086336525538,0.9570316796874999,0.02,0.06
213,TSLA220624P00930000,TSLA,725.780029296875,P,930.0,2,201.51,0.7804086336525538,1.0000000000000003e-05,201.6,203.35
214,TSLA220624C00935000,TSLA,725.780029296875,C,935.0,2,0.02,0.7762353254512032,0.9531254687499999,0.01,0.05
215,TSLA220624P00935000,TSLA,725.780029296875,P,935.0,2,206.9,0.7762353254512032,1.0000000000000003e-05,207.15,209.0
216,TSLA220624C00940000,TSLA,725.780029296875,C,940.0,2,0.02,0.7721064141456117,0.992187578125,0.03,0.05
217,TSLA220624P00940000,TSLA,725.780029296875,P,940.0,2,249.53,0.7721064141456117,1.0000000000000003e-05,212.35,214.15
218,TSLA220624C00945000,TSLA,725.780029296875,C,945.0,2,0.05,0.7680211950231481,0.9687503125,0.0,0.05
219,TSLA220624P00945000,TSLA,725.780029296875,P,945.0,2,268.45,0.7680211950231481,1.0000000000000003e-05,217.4,219.05
220,TSLA220624C00950000,TSLA,725.780029296875,C,950.0,2,0.01,0.7639789782072368,0.9687503125,0.01,0.03
